;  CONO DALMATA-helado ; Helado de Miel  ; Heca ; 6,000 ; lt ; 4.400 ; 26.400 ; 264 
 TA09 ; E-TABLITA-carpaccio de filete y tres pimientas con salsa cremosa de atun ; vinagre de manzana ; Centro Abasto ; 0,500 ; botella ; 1.290 ; 645 ; 7 
 TA09 ; E-TABLITA-carpaccio de filete y tres pimientas con salsa cremosa de atun ; Brote de arverjas ; Fruton ; 0,300 ; kg ; 7.934 ; 2.380 ; 24 
 TA09 ; E-TABLITA-carpaccio de filete y tres pimientas con salsa cremosa de atun ; Quinoa blanca ; Fruton ; 0,200 ; kg ; 4.400 ; 880 ; 9 
 TA09 ; E-TABLITA-carpaccio de filete y tres pimientas con salsa cremosa de atun ; Quinoa roja ; Fruton ; 0,200 ; kg ; 4.200 ; 840 ; 9 
 TA09 ; E-TABLITA-carpaccio de filete y tres pimientas con salsa cremosa de atun ; aceite ; Fruton ; 3,000 ; lt ; 3.450 ; 10.350 ; 104 
 TA08 ; E-TABLITA-carpaccio de mozzarella fresco, albahaca y tomate confit ; Queso mozarella boconccini ; Granarolo ; 4,500 ; kg ; 8.500 ; 38.250 ; 383 
 TA08 ; E-TABLITA-carpaccio de mozzarella fresco, albahaca y tomate confit ; Aceite de oliva ; Arasil ; 0,200 ; lt ; 5.782 ; 1.156 ; 12 
 TA08 ; E-TABLITA-carpaccio de mozzarella fresco, albahaca y tomate confit ; Albahaca fresca ; Fruton ; 0,100 ; kg ; 4.980 ; 498 ; 5 
 TA08 ; E-TABLITA-carpaccio de mozzarella fresco, albahaca y tomate confit ; Aceite de oliva ; Arasil ; 0,100 ; lt ; 5.782 ; 578 ; 6 
 TA08 ; E-TABLITA-carpaccio de mozzarella fresco, albahaca y tomate confit ; Berros ; Comercial Johnson ; 0,500 ; kg ; 10.490 ; 5.245 ; 53 
 TA08 ; E-TABLITA-carpaccio de mozzarella fresco, albahaca y tomate confit-aceite de tomate ; Aceite de oliva ; Arasil ; 0,500 ; lt ; 5.782 ; 2.891 ; 29 
 TA08 ; E-TABLITA-carpaccio de mozzarella fresco, albahaca y tomate confit-aceite de tomate ; Concentrado de tomate ; Delicias y mas SpA ; 0,500 ; kg ; 6.390 ; 3.195 ; 32 
 TA08 ; E-TABLITA-carpaccio de mozzarella fresco, albahaca y tomate confit-Grissini ; Masa de hoja ; Gastón Castillo ; 2,000 ; kg ; 5.780 ; 11.560 ; 116 
 TA08 ; E-TABLITA-carpaccio de mozzarella fresco, albahaca y tomate confit-Grissini ; Huevos ; MIGUEL FARIAS ; 3,000 ; c/u ; 240 ; 720 ; 8 
 TA08 ; E-TABLITA-carpaccio de mozzarella fresco, albahaca y tomate confit-Grissini ; Ají de color ; Fruton ; 0,100 ; bolsa ; 4.690 ; 469 ; 5 
 TA08 ; E-TABLITA-carpaccio de mozzarella fresco, albahaca y tomate confit-Grissini ; Queso parmesano en trozo ; Don Jaime ; 0,500 ; kg ; 12.524 ; 6.262 ; 63 
 TA08 ; E-TABLITA-carpaccio de mozzarella fresco, albahaca y tomate confit-Grissini ; Orégano ; Fruton ; 0,050 ; kg ; 3.900 ; 195 ; 2 
 TA08 ; E-TABLITA-carpaccio de mozzarella fresco, albahaca y tomate confit-Tomate confit ; Tomate ; Fruton ; 10,000 ; kg ; 1.490 ; 14.900 ; 149 
 TA08 ; E-TABLITA-carpaccio de mozzarella fresco, albahaca y tomate confit-Tomate confit ; Aceite ; Fruton ; 0,150 ; lt ; 3.450 ; 518 ; 6 
 TA08 ; E-TABLITA-carpaccio de mozzarella fresco, albahaca y tomate confit-Tomate confit ; Aceite de oliva ; Arasil ; 0,400 ; lt ; 5.782 ; 2.313 ; 24 
 TA08 ; E-TABLITA-carpaccio de mozzarella fresco, albahaca y tomate confit-Tomate confit ; Tomillo fresco ; Fruton ; 1,000 ; atado ; 1.390 ; 1.390 ; 14 
 TA08 ; E-TABLITA-carpaccio de mozzarella fresco, albahaca y tomate confit-Tomate confit ; Ajo ; Comercial Valencia ; 0,500 ; c/u ; 450 ; 225 ; 3 
 MPF16A ; E-TABLITA-Duo de Quesos Q.camembert con damascos, praline y miel de romero  ; Queso camembert ; Quillayes ; 1,700 ; kg ; 9.902 ; 16.833 ; 169 
 MPF16A ; E-TABLITA-Duo de Quesos Q.camembert con damascos, praline y miel de romero  ; damascos turcos ; Tres Valles Spa ; 0,500 ; kg ; 12.100 ; 6.050 ; 61 
 MPF16A ; E-TABLITA-Duo de Quesos Q.camembert con damascos, praline y miel de romero  ; Nuez mariposa ; Tres Valles Spa ; 0,500 ; kg ; 11.200 ; 5.600 ; 56 
 MPF16A ; E-TABLITA-Duo de Quesos Q.camembert con damascos, praline y miel de romero  ; Azúcar Iansa ; Fruton ; 0,300 ; kg ; 1.300 ; 390 ; 4 
 MPF16A ; E-TABLITA-Duo de Quesos Q.camembert con damascos, praline y miel de romero  ; Miel ; Fruton ; 0,700 ; kg ; 3.980 ; 2.786 ; 28 
 MPF16A ; E-TABLITA-Duo de Quesos Q.camembert con damascos, praline y miel de romero  ; Romero ; Agromarket ; 0,200 ; atado ; 495 ; 99 ; 1 
 TA01 ; E-TABLITA-Ensalada de centolla, mandarinas y pata de centolla ; Centolla ensalada ; Granja Marina ; 4,000 ; kg ; 43.000 ; 172.000 ; 1.720 
 TA01 ; E-TABLITA-Ensalada de centolla, mandarinas y pata de centolla ; Camarón 100/200 ; Southwind ; 4,000 ; kg ; 5.300 ; 21.200 ; 212 
 TA01 ; E-TABLITA-Ensalada de centolla, mandarinas y pata de centolla ; Mandarina ; Fruton ; 4,000 ; kg ; 1.790 ; 7.160 ; 72 
 TA01 ; E-TABLITA-Ensalada de centolla, mandarinas y pata de centolla ; Camarón 16-20 ; Southwind ; 2,800 ; kg ; 11.500 ; 32.200 ; 322 
 TA01 ; E-TABLITA-Ensalada de centolla, mandarinas y pata de centolla ; Ciboulette ; Fruton ; 10,000 ; c/u ; 165 ; 1.650 ; 17 
 TA01 ; E-TABLITA-Ensalada de centolla, mandarinas y pata de centolla ; Limón ; Fruton ; 3,600 ; kg ; 1.590 ; 5.724 ; 58 
 TA01 ; E-TABLITA-Ensalada de centolla, mandarinas y pata de centolla ; Mayonesa hellmanns  ; MIGUEL FARIAS ; 0,500 ; kg ; 3.650 ; 1.825 ; 19 
 TA01 ; E-TABLITA-Ensalada de centolla, mandarinas y pata de centolla-salsa de naranja ; Mayonesa hellmanns  ; MIGUEL FARIAS ; 1,700 ; kg ; 3.650 ; 6.205 ; 63 
 TA01 ; E-TABLITA-Ensalada de centolla, mandarinas y pata de centolla-salsa de naranja ; Naranjas jugo ; Comercial Valencia ; 4,000 ; kg ; 1.690 ; 6.760 ; 68 
 TA01 ; E-TABLITA-Ensalada de centolla, mandarinas y pata de centolla-salsa de naranja ; Brochetas de 12 cm ; Delicias y mas SpA ; 1,000 ; pqte ; 790 ; 790 ; 8 
 TA03 ; E-TABLITA-Escalera de jamon serrano y boconccini (6 mitades) ; Queso mozarella boconccini ; Granarolo ; 4,500 ; kg ; 8.500 ; 38.250 ; 383 
 TA03 ; E-TABLITA-Escalera de jamon serrano y boconccini (6 mitades) ; Jamón crudo ; Globe Italia ; 1,500 ; kg ; 21.780 ; 32.670 ; 327 
 TA03 ; E-TABLITA-Escalera de jamon serrano y boconccini (6 mitades) ; Albahaca fresca ; Fruton ; 0,400 ; kg ; 4.980 ; 1.992 ; 20 
 TA03 ; E-TABLITA-Escalera de jamon serrano y boconccini (6 mitades) ; Aceite de oliva ; Arasil ; 0,050 ; lt ; 5.782 ; 289 ; 3 
 TA03 ; E-TABLITA-Escalera de jamon serrano y boconccini- Reduccion de oporto y balsamico ; Oporto ; CAMBIAR ; 1,000 ; botella ; 5.512 ; 5.512 ; 56 
 TA03 ; E-TABLITA-Escalera de jamon serrano y boconccini- Reduccion de oporto y balsamico ; Vinagre balsámico ; A Y R ; 1,000 ; botella ; 2.000 ; 2.000 ; 20 
 TA03 ; E-TABLITA-Escalera de jamon serrano y boconccini- Reduccion de oporto y balsamico ; Azúcar ; Delicias y mas SpA ; 0,400 ; kg ; 1.300 ; 520 ; 6 
 TA03 ; E-TABLITA-Escalera de jamon serrano y boconccini-aceite de albahaca  ; Aceite de oliva ; Arasil ; 0,500 ; lt ; 5.782 ; 2.891 ; 29 
 TA03 ; E-TABLITA-Escalera de jamon serrano y boconccini-aceite de albahaca  ; Albahaca fresca ; Fruton ; 0,500 ; kg ; 4.980 ; 2.490 ; 25 
 TA03 ; E-TABLITA-Escalera de jamon serrano y boconccini-Berros ; Aceite de oliva ; Arasil ; 0,100 ; lt ; 5.782 ; 578 ; 6 
 TA03 ; E-TABLITA-Escalera de jamon serrano y boconccini-Berros ; Berros ; Comercial Johnson ; 0,500 ; kg ; 10.490 ; 5.245 ; 53 
 TA02 ; E-TABLITA-Salmon curado en soya con peras y cilantro ; soya ; Delicias y mas SpA ; 4,000 ; lt ; 2.645 ; 10.580 ; 106 
 TA02 ; E-TABLITA-Salmon curado en soya con peras y cilantro ; Salmón fresco ; Southwind ; 6,500 ; kg ; 11.600 ; 75.400 ; 754 
 TA02 ; E-TABLITA-Salmon curado en soya con peras y cilantro ; Jengibre fresco ; Fruton ; 0,200 ; kg ; 2.980 ; 596 ; 6 
 TA02 ; E-TABLITA-Salmon curado en soya con peras y cilantro ; Ají verde ; Fruton ; 0,400 ; kg ; 1.290 ; 516 ; 6 
 TA02 ; E-TABLITA-Salmon curado en soya con peras y cilantro-DECO ; manzana verde ; Fruton ; 4,000 ; kg ; 890 ; 3.560 ; 36 
 TA02 ; E-TABLITA-Salmon curado en soya con peras y cilantro-DECO ; Berros ; Comercial Johnson ; 0,500 ; kg ; 10.490 ; 5.245 ; 53 
 TA02 ; E-TABLITA-Salmon curado en soya con peras y cilantro-SALSA ; Crema ; Cabezas y cia ; 2,400 ; lt ; 3.721 ; 8.930 ; 90 
 TA02 ; E-TABLITA-Salmon curado en soya con peras y cilantro-SALSA ; ricotta ; Fruton ; 1,200 ; kg ; 6.890 ; 8.268 ; 83 
 TA02 ; E-TABLITA-Salmon curado en soya con peras y cilantro-SALSA ; cilantro ; Fruton ; 0,900 ; kg ; 1.980 ; 1.782 ; 18 
 TA02 ; E-TABLITA-Salmon curado en soya con peras y cilantro-SALSA ; Ají verde ; Fruton ; 0,600 ; kg ; 1.290 ; 774 ; 8 
 TA02 ; E-TABLITA-Salmon curado en soya con peras y cilantro-SALSA ; Cebollín ; Fruton ; 6,000 ; atado ; 1.890 ; 11.340 ; 114 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo ; perejil ; Comercial Valencia ; 0,500 ; kg ; 1.980 ; 990 ; 10 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo ; Ciboulette ; Fruton ; 20,000 ; c/u ; 165 ; 3.300 ; 33 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo ; Cilantro ; Fruton ; 0,500 ; kg ; 1.980 ; 990 ; 10 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo ; Mostaza Dijon ; Delicias y mas SpA ; 0,700 ; kg ; 6.715 ; 4.701 ; 48 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo ; Sésamo blanco ; MIGUEL FARIAS ; 0,300 ; kg ; 6.000 ; 1.800 ; 18 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo ; Crema ; Cabezas y cia ; 0,700 ; lt ; 3.721 ; 2.605 ; 27 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo ; pan rallado ; Fruton ; 0,300 ; kg ; 2.400 ; 720 ; 8 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo ; Filete sin cordon  ; Etiqueta negra ; 8,000 ; kg ; 11.990 ; 95.920 ; 960 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo ; Vinagre rosado ; MIGUEL FARIAS ; 1,500 ; botella ; 765 ; 1.148 ; 12 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo ; Orégano ; Fruton ; 0,500 ; kg ; 3.900 ; 1.950 ; 20 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo ; ajo ; Comercial Valencia ; 3,000 ; c/u ; 450 ; 1.350 ; 14 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo ; Merken ; Comon ; 0,100 ; kg ; 4.097 ; 410 ; 5 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo ; Aceite de oliva ; Arasil ; 0,300 ; lt ; 5.782 ; 1.735 ; 18 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo ; Castañas de cajú ; Miguel Farias ; 0,500 ; kg ; 12.990 ; 6.495 ; 65 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo-champiñones ; Champiñones Royal ; Protier ; 1,500 ; kg ; 6.500 ; 9.750 ; 98 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo-dressing ; salsa de pescado ; Delicias y mas SpA ; 0,500 ; lt ; 4.380 ; 2.190 ; 22 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo-dressing ; limón ; Fruton ; 4,000 ; kg ; 1.590 ; 6.360 ; 64 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo-dressing ; Aceite de sésamo ; Fruton ; 0,200 ; lt ; 18.225 ; 3.645 ; 37 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo-dressing ; Aceite de oliva ; Arasil ; 1,600 ; lt ; 5.782 ; 9.251 ; 93 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo-dressing ; Azúcar granulada rubia ; Fruton ; 0,410 ; kg ; 2.790 ; 1.144 ; 12 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo-dressing ; Ají srirachia ; Delicias y mas SpA ; 0,200 ; frasco ; 6.890 ; 1.378 ; 14 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo-dressing ; cilantro ; Fruton ; 0,400 ; kg ; 1.980 ; 792 ; 8 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo-dressing ; Champiñones portobello ; Fruton ; 1,500 ; kg ; 9.800 ; 14.700 ; 147 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo-dressing ; Aceite de oliva ; Arasil ; 0,500 ; lt ; 5.782 ; 2.891 ; 29 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo-dressing ; Tomillo fresco ; Fruton ; 0,600 ; atado ; 1.390 ; 834 ; 9 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo-dressing ; aceite ; Fruton ; 0,500 ; lt ; 3.450 ; 1.725 ; 18 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo-dressing ; Vino blanco en caja 2 lt ; CCU ; 1,300 ; caja ; 1.303 ; 1.694 ; 17 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo-palitos ; palitos de sushi ; Delicias y mas SpA ; 100,000 ; un ; 24 ; 2.400 ; 24 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo-verdes ; Lechuga lollo rossa ; Fruton ; 0,200 ; kg ; 490 ; 98 ; 1 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo-verdes ; Lechuga lollobionda ; Fruton ; 0,200 ; kg ; 490 ; 98 ; 1 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo-verdes ; Rucula ; Comercial Johnson ; 0,200 ; kg ; 11.765 ; 2.353 ; 24 
 TA04 ; E-TABLITA-Tataki de filete con hierbas y sesamo-verdes ; Castañas de cajú ; Miguel Farias ; 0,400 ; kg ; 12.990 ; 5.196 ; 52 
 vegete ; E-TABLITA-Trio de causas-ACEITE AMARRILLO ; Cúrcuma ; Fruton ; 0,200 ; kg ; 6.000 ; 1.200 ; 12 
 TA12 ; E-TABLITA-Trio de causas-ACEITE AMARRILLO ; Cúrcuma ; Fruton ; 0,200 ; kg ; 6.000 ; 1.200 ; 12 
 vegete ; E-TABLITA-Trio de causas-ACEITE AMARRILLO / CURCUMA EN POLVO ; Aceite de oliva ; Arasil ; 0,200 ; lt ; 4.500 ; 900 ; 9 
 TA12 ; E-TABLITA-Trio de causas-ACEITE AMARRILLO / CURCUMA EN POLVO ; Aceite de oliva ; Arasil ; 0,200 ; lt ; 5.782 ; 1.156 ; 12 
 vegete ; E-TABLITA-Trio de causas-ACEITE ROJO ; Aceite de oliva ; Arasil ; 0,100 ; lt ; 4.500 ; 450 ; 5 
 vegete ; E-TABLITA-Trio de causas-ACEITE ROJO ; Concentrado de tomate ; A Y R ; 0,017 ; kg ; 6.740 ; 112 ; 2 
 vegete ; E-TABLITA-Trio de causas-ACEITE ROJO ; Ají cacho de cabra ; Fruton ; 0,200 ; kg ; 5.900 ; 1.180 ; 12 
 TA12 ; E-TABLITA-Trio de causas-ACEITE ROJO ; Aceite de oliva ; Arasil ; 0,100 ; lt ; 5.782 ; 578 ; 6 
 TA12 ; E-TABLITA-Trio de causas-ACEITE ROJO ; Concentrado de tomate ; Delicias y mas SpA ; 0,017 ; kg ; 6.390 ; 107 ; 2 
 TA12 ; E-TABLITA-Trio de causas-ACEITE ROJO ; Ají cacho de cabra ; Fruton ; 0,200 ; kg ; 12.900 ; 2.580 ; 26 
 vegete ; E-TABLITA-Trio de causas-ACEITE VERDE ; aceite ; Fruton ; 0,200 ; lt ; 3.450 ; 690 ; 7 
 vegete ; E-TABLITA-Trio de causas-ACEITE VERDE ; perejil ; Comercial Valencia ; 0,200 ; kg ; 1.980 ; 396 ; 4 
 TA12 ; E-TABLITA-Trio de causas-ACEITE VERDE ; aceite ; Fruton ; 0,200 ; lt ; 3.450 ; 690 ; 7 
 TA12 ; E-TABLITA-Trio de causas-ACEITE VERDE ; perejil ; Comercial Valencia ; 0,200 ; kg ; 1.980 ; 396 ; 4 
 vegete ; E-TABLITA-Trio de causas-atun ; Papas peladas ; Fruton ; 5,000 ; kg ; 1.200 ; 6.000 ; 60 
 vegete ; E-TABLITA-Trio de causas-atun ; Limón ; Fruton ; 4,500 ; kg ; 890 ; 4.005 ; 41 
 vegete ; E-TABLITA-Trio de causas-atun ; Ají amarillo fresco ; Fruton ; 0,450 ; kg ; 4.900 ; 2.205 ; 23 
 vegete ; E-TABLITA-Trio de causas-atun ; Ciboulette ; Fruton ; 3,000 ; c/u ; 210 ; 630 ; 7 
 vegete ; E-TABLITA-Trio de causas-atun ; Palmitos ; Southwind ; 2,300 ; kg ; 8.900 ; 20.470 ; 205 
 vegete ; E-TABLITA-Trio de causas-atun ; Palta hass ; Palta royal ; 1,800 ; kg ; 3.600 ; 6.480 ; 65 
 vegete ; E-TABLITA-Trio de causas-atun ; Berros ; Comercial Johnson ; 0,300 ; kg ; 5.460 ; 1.638 ; 17 
 TA12 ; E-TABLITA-Trio de causas-atun ; Papas peladas ; Fruton ; 5,000 ; kg ; 1.200 ; 6.000 ; 60 
 TA12 ; E-TABLITA-Trio de causas-atun ; Limón ; Fruton ; 4,500 ; kg ; 1.590 ; 7.155 ; 72 
 TA12 ; E-TABLITA-Trio de causas-atun ; Ají amarillo fresco ; Fruton ; 0,450 ; kg ; 4.900 ; 2.205 ; 23 
 TA12 ; E-TABLITA-Trio de causas-atun ; Ciboulette ; Fruton ; 3,000 ; c/u ; 165 ; 495 ; 5 
 TA12 ; E-TABLITA-Trio de causas-atun ; Atún congelado en loins ; Cerro Pacifico ; 2,300 ; kg ; 7.900 ; 18.170 ; 182 
 TA12 ; E-TABLITA-Trio de causas-atun ; Palta hass ; Palta royal ; 1,800 ; kg ; 4.000 ; 7.200 ; 72 
 TA12 ; E-TABLITA-Trio de causas-atun ; Berros ; Comercial Johnson ; 0,300 ; kg ; 10.490 ; 3.147 ; 32 
 vegete ; E-TABLITA-Trio de causas-atun-verdura encurtida ; nabo ; Fruton ; 0,700 ; unid ; 3.490 ; 2.443 ; 25 
 vegete ; E-TABLITA-Trio de causas-atun-verdura encurtida ; Zanahorias ; Comercial Valencia ; 0,700 ; pqte ; 790 ; 553 ; 6 
 vegete ; E-TABLITA-Trio de causas-atun-verdura encurtida ; Aji amarillo ; Fruton ; 0,150 ; kg ; 4.900 ; 735 ; 8 
 vegete ; E-TABLITA-Trio de causas-atun-verdura encurtida ; tomate cherry ; Fruton ; 1,000 ; kg ; 2.590 ; 2.590 ; 26 
 vegete ; E-TABLITA-Trio de causas-atun-verdura encurtida ; vinagre de arroz ; Centro Abasto ; 0,700 ; botella ; 2.990 ; 2.093 ; 21 
 vegete ; E-TABLITA-Trio de causas-atun-verdura encurtida ; Azúcar ; Delicias y mas SpA ; 0,400 ; kg ; 1.300 ; 520 ; 6 
 TA12 ; E-TABLITA-Trio de causas-atun-verdura encurtida ; nabo ; Fruton ; 0,700 ; unid ; 2.790 ; 1.953 ; 20 
 TA12 ; E-TABLITA-Trio de causas-atun-verdura encurtida ; Zanahorias ; Comercial Valencia ; 0,700 ; pqte ; 790 ; 553 ; 6 
 TA12 ; E-TABLITA-Trio de causas-atun-verdura encurtida ; Aji amarillo ; Fruton ; 0,150 ; kg ; 4.900 ; 735 ; 8 
 TA12 ; E-TABLITA-Trio de causas-atun-verdura encurtida ; tomate cherry ; Fruton ; 1,000 ; kg ; 1.980 ; 1.980 ; 20 
 TA12 ; E-TABLITA-Trio de causas-atun-verdura encurtida ; vinagre de arroz ; Centro Abasto ; 0,700 ; botella ; 2.990 ; 2.093 ; 21 
 TA12 ; E-TABLITA-Trio de causas-atun-verdura encurtida ; Azúcar ; Delicias y mas SpA ; 0,400 ; kg ; 1.300 ; 520 ; 6 
 vegete ; E-TABLITA-Trio de causas-centolla ; Papas peladas ; Fruton ; 5,000 ; kg ; 1.200 ; 6.000 ; 60 
 vegete ; E-TABLITA-Trio de causas-centolla ; Limón ; Fruton ; 4,500 ; kg ; 890 ; 4.005 ; 41 
 vegete ; E-TABLITA-Trio de causas-centolla ; Ají amarillo fresco ; Fruton ; 0,700 ; kg ; 4.900 ; 3.430 ; 35 
 vegete ; E-TABLITA-Trio de causas-centolla ; Champiñon granel chico ; Granja Marina ; 2,500 ; kg ; 39.000 ; 97.500 ; 975 
 vegete ; E-TABLITA-Trio de causas-centolla ; Ciboulette ; Fruton ; 3,000 ; c/u ; 210 ; 630 ; 7 
 TA12 ; E-TABLITA-Trio de causas-centolla ; Papas peladas ; Fruton ; 5,000 ; kg ; 1.200 ; 6.000 ; 60 
 TA12 ; E-TABLITA-Trio de causas-centolla ; Limón ; Fruton ; 4,500 ; kg ; 1.590 ; 7.155 ; 72 
 TA12 ; E-TABLITA-Trio de causas-centolla ; Ají amarillo fresco ; Fruton ; 0,700 ; kg ; 4.900 ; 3.430 ; 35 
 TA12 ; E-TABLITA-Trio de causas-centolla ; Centolla ensalada ; Granja Marina ; 2,500 ; kg ; 43.000 ; 107.500 ; 1.075 
 TA12 ; E-TABLITA-Trio de causas-centolla ; Ciboulette ; Fruton ; 3,000 ; c/u ; 165 ; 495 ; 5 
 vegete ; E-TABLITA-Trio de causas-centolla-ensalada criolla ; cebolla morada ; Fruton ; 1,000 ; kg ; 790 ; 790 ; 8 
 vegete ; E-TABLITA-Trio de causas-centolla-ensalada criolla ; Limón ; Fruton ; 3,000 ; kg ; 890 ; 2.670 ; 27 
 vegete ; E-TABLITA-Trio de causas-centolla-ensalada criolla ; Ají amarillo fresco ; Fruton ; 0,300 ; kg ; 4.900 ; 1.470 ; 15 
 vegete ; E-TABLITA-Trio de causas-centolla-ensalada criolla ; Pimentón Rojo ; Comercial Valencia ; 2,000 ; c/u ; 890 ; 1.780 ; 18 
 vegete ; E-TABLITA-Trio de causas-centolla-ensalada criolla ; Cilantro ; Fruton ; 0,300 ; kg ; 2.490 ; 747 ; 8 
 TA12 ; E-TABLITA-Trio de causas-centolla-ensalada criolla ; cebolla morada ; Fruton ; 1,000 ; kg ; 690 ; 690 ; 7 
 TA12 ; E-TABLITA-Trio de causas-centolla-ensalada criolla ; Limón ; Fruton ; 3,000 ; kg ; 1.590 ; 4.770 ; 48 
 TA12 ; E-TABLITA-Trio de causas-centolla-ensalada criolla ; Ají amarillo fresco ; Fruton ; 0,300 ; kg ; 4.900 ; 1.470 ; 15 
 TA12 ; E-TABLITA-Trio de causas-centolla-ensalada criolla ; Pimentón Rojo ; Comercial Valencia ; 2,000 ; c/u ; 890 ; 1.780 ; 18 
 TA12 ; E-TABLITA-Trio de causas-centolla-ensalada criolla ; Cilantro ; Fruton ; 0,300 ; kg ; 1.980 ; 594 ; 6 
 vegete ; E-TABLITA-Trio de causas-centolla-salsa de aji amarillo ; Ají amarillo fresco ; Fruton ; 0,150 ; kg ; 4.900 ; 735 ; 8 
 vegete ; E-TABLITA-Trio de causas-centolla-salsa de aji amarillo ; cebolla ; Fruton ; 0,150 ; kg ; 980 ; 147 ; 2 
 vegete ; E-TABLITA-Trio de causas-centolla-salsa de aji amarillo ; ajo ; Comercial Valencia ; 0,030 ; c/u ; 450 ; 14 ; 1 
 vegete ; E-TABLITA-Trio de causas-centolla-salsa de aji amarillo ; Mayonesa hellmanns  ; Delicias y mas SpA ; 0,500 ; kg ; 3.845 ; 1.923 ; 20 
 vegete ; E-TABLITA-Trio de causas-centolla-salsa de aji amarillo ; aceite ; Fruton ; 0,450 ; lt ; 3.450 ; 1.553 ; 16 
 vegete ; E-TABLITA-Trio de causas-centolla-salsa de aji amarillo ; ajo ; Comercial Valencia ; 0,015 ; c/u ; 450 ; 7 ; 1 
 vegete ; E-TABLITA-Trio de causas-centolla-salsa de aji amarillo ; limón ; Fruton ; 0,075 ; kg ; 890 ; 67 ; 1 
 TA12 ; E-TABLITA-Trio de causas-centolla-salsa de aji amarillo ; Ají amarillo fresco ; Fruton ; 0,150 ; kg ; 4.900 ; 735 ; 8 
 TA12 ; E-TABLITA-Trio de causas-centolla-salsa de aji amarillo ; cebolla ; Fruton ; 0,150 ; kg ; 690 ; 104 ; 2 
 TA12 ; E-TABLITA-Trio de causas-centolla-salsa de aji amarillo ; ajo ; Comercial Valencia ; 0,030 ; c/u ; 450 ; 14 ; 1 
 TA12 ; E-TABLITA-Trio de causas-centolla-salsa de aji amarillo ; Mayonesa hellmanns  ; MIGUEL FARIAS ; 0,500 ; kg ; 3.650 ; 1.825 ; 19 
 TA12 ; E-TABLITA-Trio de causas-centolla-salsa de aji amarillo ; aceite ; Fruton ; 0,450 ; lt ; 3.450 ; 1.553 ; 16 
 TA12 ; E-TABLITA-Trio de causas-centolla-salsa de aji amarillo ; ajo ; Comercial Valencia ; 0,015 ; c/u ; 450 ; 7 ; 1 
 TA12 ; E-TABLITA-Trio de causas-centolla-salsa de aji amarillo ; limón ; Fruton ; 0,075 ; kg ; 1.590 ; 119 ; 2 
 vegete ; E-TABLITA-Trio de causas-ceviche camaron ; Papas peladas ; Fruton ; 5,000 ; kg ; 1.200 ; 6.000 ; 60 
 vegete ; E-TABLITA-Trio de causas-ceviche camaron ; Limón ; Fruton ; 4,500 ; kg ; 890 ; 4.005 ; 41 
 vegete ; E-TABLITA-Trio de causas-ceviche camaron ; Ají amarillo fresco ; Fruton ; 0,700 ; kg ; 4.900 ; 3.430 ; 35 
 vegete ; E-TABLITA-Trio de causas-ceviche camaron ; Tomate cherry ; Fruton ; 3,500 ; kg ; 8.000 ; 28.000 ; 280 
 vegete ; E-TABLITA-Trio de causas-ceviche camaron ; cebolla morada ; Fruton ; 0,400 ; kg ; 790 ; 316 ; 4 
 vegete ; E-TABLITA-Trio de causas-ceviche camaron ; Cilantro ; Fruton ; 0,400 ; kg ; 2.490 ; 996 ; 10 
 vegete ; E-TABLITA-Trio de causas-ceviche camaron ; Limon sutil ; Fruton ; 3,000 ; kg ; 2.490 ; 7.470 ; 75 
